json,image,mean_err_mm,median_err_mm,max_err_mm,rot_delta_deg,overlay
he_record_0000.json,he_img_0000.png,1.77,1.757,2.15,0.426,out_overlays/he_record_0000_axes.png
he_record_0001.json,he_img_0001.png,2.117,2.122,2.297,0.259,out_overlays/he_record_0001_axes.png
he_record_0002.json,he_img_0002.png,2.218,2.212,2.402,0.231,out_overlays/he_record_0002_axes.png
he_record_0003.json,he_img_0003.png,2.097,2.098,2.319,0.329,out_overlays/he_record_0003_axes.png
he_record_0004.json,he_img_0004.png,1.881,1.85,2.215,0.573,out_overlays/he_record_0004_axes.png
he_record_0005.json,he_img_0005.png,2.725,2.714,3.127,0.342,out_overlays/he_record_0005_axes.png
he_record_0006.json,he_img_0006.png,2.611,2.615,2.975,0.659,out_overlays/he_record_0006_axes.png
he_record_0007.json,he_img_0007.png,1.15,1.149,1.195,0.171,out_overlays/he_record_0007_axes.png
he_record_0008.json,he_img_0008.png,1.463,1.464,1.666,0.56,out_overlays/he_record_0008_axes.png
he_record_0009.json,he_img_0009.png,0.879,0.89,0.984,0.401,out_overlays/he_record_0009_axes.png
he_record_0010.json,he_img_0010.png,1.296,1.303,1.42,0.441,out_overlays/he_record_0010_axes.png
he_record_0011.json,he_img_0011.png,0.556,0.554,0.763,0.186,out_overlays/he_record_0011_axes.png
he_record_0012.json,he_img_0012.png,1.512,1.495,1.838,0.607,out_overlays/he_record_0012_axes.png
he_record_0013.json,he_img_0013.png,1.42,1.418,1.672,0.352,out_overlays/he_record_0013_axes.png
he_record_0014.json,he_img_0014.png,3.668,3.684,4.249,0.463,out_overlays/he_record_0014_axes.png
he_record_0015.json,he_img_0015.png,1.409,1.461,2.125,0.77,out_overlays/he_record_0015_axes.png
he_record_0016.json,he_img_0016.png,3.269,3.258,4.319,1.328,out_overlays/he_record_0016_axes.png
he_record_0017.json,he_img_0017.png,1.678,1.699,2.028,0.606,out_overlays/he_record_0017_axes.png
he_record_0018.json,he_img_0018.png,1.956,1.925,2.368,0.844,out_overlays/he_record_0018_axes.png
he_record_0019.json,he_img_0019.png,1.905,1.903,2.614,0.622,out_overlays/he_record_0019_axes.png
he_record_0020.json,he_img_0020.png,1.854,1.853,1.902,0.148,out_overlays/he_record_0020_axes.png
he_record_0021.json,he_img_0021.png,2.115,2.111,2.421,0.322,out_overlays/he_record_0021_axes.png
he_record_0022.json,he_img_0022.png,2.075,2.075,2.389,0.261,out_overlays/he_record_0022_axes.png
he_record_0023.json,he_img_0023.png,1.935,1.913,2.145,0.543,out_overlays/he_record_0023_axes.png
he_record_0024.json,he_img_0024.png,3.967,3.964,4.152,0.204,out_overlays/he_record_0024_axes.png
